Sec, mA, mW
0.00, 65.80, 285.00
0.21, 76.70, 338.00
0.41, 77.30, 297.00
0.61, 66.90, 293.00
0.82, 66.60, 326.00
1.02, 66.40, 292.00
1.22, 66.40, 290.00
1.43, 66.60, 283.00
1.63, 66.90, 293.00
1.83, 67.40, 297.00
2.04, 77.30, 339.00
2.24, 76.30, 298.00
2.44, 66.70, 293.00
2.65, 67.60, 321.00
2.85, 63.70, 280.00
3.05, 67.30, 293.00
3.26, 67.30, 293.00
3.46, 75.40, 293.00
3.66, 66.40, 292.00
3.87, 66.90, 336.00
4.07, 76.00, 334.00
4.27, 67.90, 298.00
4.48, 184.90, 762.00
4.68, 83.50, 364.00
4.88, 90.10, 377.00
5.09, 86.80, 378.00
5.29, 81.10, 352.00
5.49, 80.90, 352.00
5.70, 85.50, 383.00
5.90, 67.20, 346.00
6.10, 73.30, 323.00
6.30, 66.50, 292.00
6.51, 67.80, 297.00
6.71, 64.40, 283.00
6.92, 66.80, 295.00
7.12, 68.80, 301.00
7.32, 78.50, 295.00
7.52, 66.40, 292.00
7.73, 67.30, 344.00
7.93, 72.70, 319.00
8.14, 67.40, 295.00
8.34, 67.50, 295.00
8.54, 67.50, 295.00
8.74, 66.90, 293.00
8.95, 66.80, 306.00
9.15, 77.20, 339.00
9.35, 75.50, 295.00
9.56, 67.10, 295.00
9.76, 67.30, 315.00
9.97, 63.90, 280.00
10.17, 67.10, 295.00
10.37, 67.30, 293.00
10.57, 78.30, 295.00
10.78, 67.70, 297.00
10.98, 67.30, 341.00
11.18, 74.20, 326.00
11.39, 66.60, 293.00
11.59, 67.60, 313.00
11.80, 66.90, 293.00
12.00, 67.50, 295.00
12.20, 67.00, 293.00
12.40, 79.10, 297.00
12.61, 67.40, 297.00
12.81, 67.30, 347.00
13.01, 71.40, 315.00
13.22, 67.20, 293.00
13.42, 66.80, 293.00
13.62, 67.50, 297.00
13.83, 66.30, 293.00
14.03, 67.50, 295.00
14.23, 79.10, 295.00
14.44, 66.90, 293.00
14.64, 67.20, 339.00
14.84, 85.00, 370.00
15.05, 80.80, 352.00
15.25, 81.00, 365.00
15.45, 91.40, 398.00
15.66, 83.90, 375.00
15.86, 80.90, 351.00
16.06, 88.20, 352.00
16.27, 66.10, 290.00
16.47, 67.20, 326.00
16.67, 78.80, 346.00
16.88, 71.80, 297.00
17.08, 67.50, 297.00
17.28, 67.50, 297.00
17.49, 67.10, 297.00
17.69, 66.90, 292.00
17.89, 73.10, 293.00
18.10, 66.50, 292.00
18.30, 67.50, 326.00
18.50, 78.20, 344.00
18.71, 67.80, 295.00
18.91, 67.10, 295.00
19.11, 67.00, 287.00
19.32, 66.10, 290.00
19.52, 67.20, 293.00
19.72, 73.40, 293.00
19.93, 67.30, 295.00
20.13, 67.00, 329.00
20.33, 78.10, 344.00
20.54, 69.40, 297.00
20.74, 66.40, 292.00
20.94, 66.70, 295.00
21.15, 67.30, 295.00
21.35, 66.40, 290.00
21.55, 73.80, 323.00
21.76, 66.50, 292.00
21.96, 67.20, 329.00
22.17, 76.40, 336.00
22.37, 69.60, 297.00
22.57, 67.40, 297.00
22.77, 67.20, 297.00
22.98, 64.40, 283.00
23.18, 67.60, 293.00
23.38, 73.60, 323.00
23.59, 77.00, 295.00
23.79, 67.10, 295.00
23.99, 78.40, 344.00
24.20, 67.30, 293.00
24.40, 67.00, 293.00
24.60, 67.30, 285.00
24.81, 67.30, 295.00
25.01, 81.00, 365.00
25.21, 87.10, 380.00
25.42, 81.20, 354.00
25.62, 81.00, 352.00
25.82, 82.50, 359.00
26.03, 90.20, 352.00
26.23, 81.10, 354.00
26.43, 67.60, 308.00
26.64, 63.60, 280.00
26.84, 65.40, 295.00
27.04, 67.50, 295.00
27.25, 76.50, 293.00
27.45, 66.90, 305.00
27.65, 78.90, 347.00
27.86, 75.40, 298.00
28.06, 67.00, 295.00
28.26, 67.30, 298.00
28.47, 66.50, 292.00
28.67, 67.20, 292.00
28.87, 67.20, 293.00
29.08, 75.80, 297.00
29.28, 66.80, 293.00
29.48, 66.90, 346.00
29.69, 74.20, 326.00
29.89, 67.40, 297.00
30.09, 67.20, 292.00
30.30, 65.50, 288.00
30.50, 65.30, 292.00
30.70, 67.70, 297.00
30.91, 76.80, 297.00
31.11, 67.20, 295.00
31.31, 67.10, 349.00
31.52, 74.40, 326.00
31.72, 64.90, 295.00
31.92, 67.60, 297.00
32.13, 66.80, 293.00
32.33, 66.40, 293.00
32.54, 68.10, 298.00
32.74, 77.30, 290.00
32.94, 67.10, 295.00
33.15, 67.60, 346.00
33.35, 73.20, 321.00
33.55, 64.90, 295.00
33.75, 67.40, 295.00
33.96, 66.90, 293.00
34.16, 66.70, 288.00
34.37, 69.10, 301.00
34.57, 78.00, 293.00
34.77, 66.50, 292.00
34.97, 67.00, 344.00
35.18, 73.20, 321.00
35.38, 81.60, 352.00
35.58, 82.60, 359.00
35.79, 90.20, 393.00
35.99, 87.10, 354.00
36.19, 81.20, 352.00
36.40, 82.40, 354.00
36.60, 67.20, 295.00
36.81, 67.10, 344.00
37.01, 78.90, 347.00
37.21, 68.20, 295.00
37.42, 67.30, 295.00
37.62, 67.30, 295.00
37.82, 66.70, 295.00
38.02, 67.00, 293.00
38.23, 70.80, 293.00
38.43, 67.80, 298.00
38.63, 67.20, 344.00
38.84, 78.60, 346.00
39.04, 64.70, 295.00
39.25, 66.70, 293.00
39.45, 66.60, 293.00
39.65, 64.80, 292.00
39.86, 67.40, 295.00
40.06, 71.60, 297.00
40.26, 67.10, 295.00
40.47, 66.80, 338.00
40.67, 78.20, 344.00
40.87, 68.10, 295.00
41.08, 67.40, 297.00
41.28, 67.20, 295.00
41.48, 66.90, 293.00
41.69, 66.50, 290.00
41.89, 72.00, 295.00
42.09, 67.20, 295.00
42.29, 66.90, 344.00
42.50, 77.10, 339.00
42.70, 67.40, 295.00
42.90, 67.30, 295.00
43.11, 65.50, 293.00
43.31, 66.40, 292.00
43.52, 66.90, 292.00
43.72, 71.30, 293.00
43.92, 67.00, 295.00
44.13, 67.10, 344.00
44.33, 77.70, 342.00
44.53, 67.10, 293.00
44.74, 66.80, 293.00
44.94, 67.20, 285.00
45.14, 64.70, 283.00
45.35, 66.90, 295.00
45.55, 89.90, 392.00
45.75, 87.50, 362.00
45.96, 85.00, 369.00
46.16, 81.00, 354.00
46.36, 80.90, 352.00
46.56, 80.90, 398.00
46.77, 87.00, 380.00
46.97, 66.10, 297.00
47.18, 67.20, 293.00
47.38, 67.10, 293.00
47.58, 66.70, 293.00
47.79, 67.40, 305.00
47.99, 78.10, 342.00
48.19, 75.20, 293.00
48.40, 66.90, 293.00
48.60, 67.60, 316.00
48.80, 63.60, 280.00
49.01, 67.40, 295.00
49.21, 66.30, 285.00
49.41, 65.40, 287.00
49.62, 67.40, 305.00
49.82, 77.80, 342.00
50.02, 76.10, 295.00
50.22, 67.20, 295.00
50.43, 67.40, 318.00
50.63, 67.00, 295.00
50.84, 66.60, 292.00
51.04, 66.70, 293.00
51.24, 67.30, 297.00
51.45, 67.50, 306.00
51.65, 78.40, 344.00
51.85, 75.30, 297.00
52.06, 66.80, 293.00
52.26, 67.50, 316.00
52.46, 64.20, 282.00
52.67, 67.50, 293.00
52.87, 67.50, 295.00
53.07, 67.10, 295.00
53.28, 67.00, 306.00
53.48, 79.00, 347.00
53.68, 74.30, 297.00
53.88, 66.80, 293.00
54.09, 67.20, 313.00
54.29, 66.50, 292.00
54.50, 67.40, 293.00
54.70, 67.10, 293.00
54.90, 77.80, 297.00
55.11, 66.70, 293.00
55.31, 78.20, 344.00
55.51, 74.50, 293.00
55.72, 188.00, 777.00
55.92, 81.10, 352.00
56.12, 87.50, 354.00
56.33, 86.50, 377.00
56.53, 81.00, 383.00
56.73, 81.20, 354.00
56.94, 86.70, 352.00
57.14, 71.90, 315.00
57.34, 78.90, 297.00
57.54, 67.00, 295.00
57.75, 67.20, 341.00
57.95, 67.70, 297.00
58.15, 67.10, 298.00
58.36, 66.90, 292.00
58.56, 66.30, 292.00
58.77, 67.10, 295.00
58.97, 71.80, 315.00
59.17, 78.30, 297.00
59.38, 67.00, 295.00
59.58, 67.70, 347.00
59.78, 66.40, 292.00
59.99, 65.00, 297.00
