Sec, mA, mW
0.00, 52.00, 223.00
0.20, 51.80, 224.00
0.41, 52.00, 224.00
0.61, 51.90, 224.00
0.81, 51.90, 226.00
1.02, 51.70, 224.00
1.22, 51.90, 228.00
1.42, 62.40, 270.00
1.63, 51.80, 224.00
1.83, 51.90, 228.00
2.04, 56.50, 224.00
2.24, 51.90, 226.00
2.44, 51.90, 224.00
2.65, 51.90, 224.00
2.85, 52.10, 226.00
3.05, 51.90, 226.00
3.25, 62.60, 272.00
3.46, 52.60, 226.00
3.66, 66.60, 287.00
3.87, 74.50, 319.00
4.07, 66.60, 287.00
4.27, 66.50, 285.00
4.47, 74.10, 318.00
4.68, 66.50, 285.00
4.88, 66.60, 287.00
5.08, 56.20, 242.00
5.29, 52.70, 226.00
5.49, 52.10, 226.00
5.70, 52.10, 224.00
5.90, 51.80, 224.00
6.10, 51.80, 224.00
6.30, 51.90, 226.00
6.51, 52.50, 228.00
6.71, 62.40, 226.00
6.91, 51.80, 238.00
7.12, 52.60, 228.00
7.32, 51.90, 226.00
7.52, 51.90, 224.00
7.73, 51.90, 226.00
7.93, 51.60, 224.00
8.13, 52.00, 226.00
8.34, 51.90, 228.00
8.54, 62.50, 272.00
8.74, 51.90, 226.00
8.95, 52.00, 229.00
9.15, 55.70, 226.00
9.35, 52.00, 226.00
9.56, 51.80, 224.00
9.76, 52.00, 226.00
9.96, 51.80, 224.00
10.17, 52.10, 226.00
10.37, 62.60, 272.00
10.57, 52.70, 224.00
10.78, 51.90, 228.00
10.98, 54.80, 236.00
11.18, 51.80, 224.00
11.39, 51.90, 224.00
11.59, 52.10, 231.00
11.79, 51.80, 224.00
12.00, 51.90, 226.00
12.20, 51.90, 272.00
12.40, 52.60, 224.00
12.61, 52.00, 226.00
12.81, 53.90, 233.00
13.01, 51.90, 226.00
13.22, 51.80, 224.00
13.42, 51.90, 236.00
13.62, 51.80, 224.00
13.83, 66.30, 285.00
14.03, 66.70, 324.00
14.23, 66.70, 287.00
14.44, 66.60, 287.00
14.64, 66.70, 326.00
14.84, 67.40, 290.00
15.05, 66.70, 287.00
15.25, 52.00, 272.00
15.45, 52.70, 224.00
15.66, 51.90, 226.00
15.86, 51.80, 223.00
16.06, 52.30, 226.00
16.27, 51.90, 224.00
16.47, 51.90, 224.00
16.67, 52.00, 226.00
16.88, 52.00, 226.00
17.08, 52.00, 272.00
17.28, 52.70, 226.00
17.49, 51.80, 224.00
17.69, 51.90, 224.00
17.89, 51.90, 226.00
18.10, 51.90, 224.00
18.30, 51.80, 224.00
18.50, 51.90, 226.00
18.71, 57.30, 226.00
18.91, 52.00, 267.00
19.11, 52.60, 228.00
19.32, 52.00, 226.00
19.52, 51.90, 223.00
19.72, 51.90, 226.00
19.93, 51.90, 226.00
20.13, 51.90, 224.00
20.33, 51.90, 226.00
20.54, 58.60, 224.00
20.74, 51.80, 259.00
20.94, 52.60, 228.00
21.15, 51.90, 226.00
21.35, 51.70, 223.00
21.55, 51.90, 224.00
21.76, 51.90, 226.00
21.96, 52.00, 226.00
22.16, 51.70, 224.00
22.37, 60.60, 224.00
22.57, 51.80, 251.00
22.77, 52.60, 229.00
22.98, 51.90, 226.00
23.18, 52.00, 224.00
23.38, 51.80, 224.00
23.59, 51.90, 226.00
23.79, 51.80, 224.00
23.99, 52.80, 229.00
24.20, 73.40, 287.00
24.40, 66.50, 285.00
24.60, 73.10, 313.00
24.81, 75.30, 287.00
25.01, 66.60, 287.00
25.21, 73.20, 315.00
25.42, 62.70, 226.00
25.62, 52.10, 234.00
25.82, 52.90, 229.00
