Sec, mA, mW
0.00, 72.00, 315.00
0.20, 66.70, 293.00
0.41, 67.80, 297.00
0.61, 67.80, 297.00
0.81, 67.30, 297.00
1.02, 67.40, 295.00
1.22, 78.50, 346.00
1.42, 79.00, 297.00
1.63, 67.80, 298.00
1.83, 66.70, 334.00
2.03, 65.90, 290.00
2.24, 67.00, 297.00
2.44, 67.20, 293.00
2.65, 69.70, 297.00
2.85, 66.50, 292.00
3.05, 67.40, 324.00
3.25, 79.30, 349.00
3.46, 74.20, 297.00
3.66, 67.20, 295.00
3.86, 67.20, 310.00
4.07, 67.50, 297.00
4.27, 67.60, 297.00
4.47, 67.60, 295.00
4.68, 76.80, 298.00
4.88, 67.50, 297.00
5.08, 77.60, 341.00
5.29, 78.50, 297.00
5.49, 67.60, 297.00
5.69, 67.40, 331.00
5.90, 67.00, 295.00
6.10, 67.50, 295.00
6.30, 67.70, 297.00
6.51, 71.70, 295.00
6.71, 67.30, 297.00
6.91, 67.50, 324.00
7.12, 79.00, 347.00
7.32, 72.30, 295.00
7.52, 67.60, 297.00
7.73, 67.90, 300.00
7.93, 81.30, 356.00
8.13, 87.00, 378.00
8.34, 81.20, 360.00
8.54, 81.60, 357.00
8.74, 82.40, 352.00
8.95, 81.40, 383.00
9.15, 82.30, 359.00
9.35, 67.90, 297.00
9.56, 67.60, 295.00
9.76, 72.90, 295.00
9.96, 66.60, 293.00
10.17, 67.60, 347.00
10.37, 79.10, 347.00
10.57, 69.10, 297.00
10.78, 66.90, 293.00
10.98, 68.90, 303.00
11.18, 67.60, 297.00
11.39, 67.20, 293.00
11.59, 68.80, 295.00
11.79, 67.20, 295.00
12.00, 67.60, 321.00
12.20, 79.10, 347.00
12.40, 73.00, 297.00
12.61, 67.30, 297.00
12.81, 72.30, 318.00
13.01, 64.50, 297.00
13.22, 67.70, 297.00
13.42, 67.20, 283.00
13.62, 67.50, 297.00
13.83, 67.80, 298.00
14.03, 77.50, 341.00
14.23, 79.80, 297.00
14.44, 67.20, 295.00
14.64, 76.50, 336.00
14.84, 65.40, 297.00
15.05, 66.20, 290.00
15.25, 67.70, 295.00
15.45, 67.20, 295.00
15.66, 67.30, 293.00
15.86, 73.60, 323.00
16.06, 67.50, 297.00
16.27, 67.50, 347.00
16.47, 79.80, 351.00
16.67, 67.60, 298.00
16.88, 67.50, 297.00
17.08, 67.40, 298.00
17.28, 67.40, 297.00
17.49, 67.60, 295.00
17.69, 69.80, 306.00
17.89, 66.70, 293.00
18.10, 81.20, 354.00
18.30, 81.50, 370.00
18.50, 183.20, 757.00
18.71, 82.40, 385.00
18.91, 91.00, 396.00
19.11, 187.10, 775.00
19.32, 81.50, 380.00
19.52, 89.20, 390.00
19.72, 67.50, 297.00
19.93, 67.70, 297.00
20.13, 67.80, 280.00
20.33, 67.60, 297.00
20.54, 65.60, 295.00
20.74, 72.10, 316.00
20.94, 79.40, 297.00
21.15, 66.60, 293.00
21.35, 78.40, 344.00
21.55, 67.20, 298.00
21.76, 67.40, 297.00
21.96, 67.60, 287.00
22.16, 66.10, 290.00
22.37, 65.20, 297.00
22.57, 68.20, 298.00
22.77, 67.70, 298.00
22.98, 67.50, 321.00
23.18, 78.90, 347.00
23.38, 72.30, 297.00
23.59, 67.60, 298.00
23.79, 67.70, 316.00
23.99, 67.80, 298.00
24.20, 64.90, 297.00
24.40, 67.40, 295.00
24.60, 67.20, 295.00
24.81, 67.50, 303.00
25.01, 78.20, 344.00
25.21, 79.30, 298.00
25.42, 67.20, 295.00
25.62, 67.60, 333.00
25.82, 67.20, 295.00
26.03, 67.50, 292.00
26.23, 67.40, 295.00
26.43, 67.60, 297.00
26.64, 67.50, 297.00
26.84, 74.90, 329.00
27.04, 79.30, 297.00
27.25, 67.50, 297.00
27.45, 67.20, 346.00
27.65, 66.10, 290.00
27.86, 66.40, 295.00
28.06, 67.40, 295.00
28.26, 183.00, 757.00
28.47, 81.40, 356.00
28.67, 81.50, 398.00
28.87, 90.20, 380.00
29.08, 81.80, 357.00
29.28, 81.60, 396.00
29.48, 183.20, 757.00
29.69, 81.50, 356.00
29.89, 81.80, 365.00
30.09, 67.60, 298.00
30.30, 67.50, 295.00
30.50, 70.90, 311.00
30.70, 79.10, 298.00
30.91, 67.10, 295.00
31.11, 67.20, 349.00
31.31, 73.20, 321.00
31.52, 67.20, 295.00
31.72, 67.50, 315.00
31.92, 67.20, 295.00
32.13, 67.80, 297.00
32.33, 67.40, 295.00
32.53, 79.00, 295.00
32.74, 67.50, 297.00
32.94, 67.00, 346.00
33.14, 78.00, 342.00
33.35, 67.70, 298.00
33.55, 67.60, 326.00
33.75, 67.50, 297.00
33.96, 67.00, 295.00
34.16, 67.60, 297.00
34.36, 74.10, 297.00
34.57, 67.30, 297.00
34.77, 67.80, 331.00
34.97, 78.60, 346.00
35.18, 67.40, 297.00
35.38, 67.10, 339.00
35.58, 66.50, 292.00
35.79, 66.00, 297.00
35.99, 67.50, 295.00
36.19, 68.80, 295.00
36.40, 67.50, 297.00
36.60, 67.60, 311.00
36.80, 79.30, 297.00
37.01, 66.80, 293.00
37.21, 67.60, 347.00
37.41, 71.20, 313.00
37.62, 66.60, 297.00
37.82, 67.70, 297.00
38.02, 67.40, 297.00
38.23, 67.80, 298.00
38.43, 67.40, 295.00
38.63, 91.90, 401.00
38.84, 82.00, 354.00
39.04, 75.60, 329.00
39.24, 88.20, 385.00
39.45, 81.70, 357.00
39.65, 81.50, 354.00
39.85, 88.00, 385.00
40.06, 87.00, 356.00
40.26, 67.70, 298.00
40.46, 67.20, 295.00
40.67, 65.10, 297.00
40.87, 67.40, 295.00
41.07, 67.80, 297.00
41.28, 67.60, 297.00
41.48, 67.30, 303.00
41.68, 78.80, 346.00
41.89, 67.40, 297.00
42.09, 67.40, 347.00
42.29, 74.50, 328.00
42.50, 65.50, 292.00
42.70, 67.50, 297.00
42.90, 67.50, 297.00
43.11, 67.30, 297.00
43.31, 67.40, 293.00
43.51, 75.50, 331.00
43.72, 67.40, 297.00
43.92, 67.80, 338.00
44.12, 78.80, 347.00
44.33, 70.70, 297.00
44.53, 67.60, 297.00
44.73, 67.50, 297.00
44.94, 67.20, 295.00
45.14, 67.40, 295.00
45.34, 70.30, 297.00
45.55, 67.40, 297.00
45.75, 67.60, 319.00
45.95, 78.30, 344.00
46.16, 73.50, 298.00
46.36, 67.70, 298.00
46.56, 67.50, 310.00
46.77, 64.40, 283.00
46.97, 67.90, 298.00
47.17, 67.40, 297.00
47.38, 67.80, 298.00
47.58, 66.90, 303.00
47.78, 79.70, 351.00
47.99, 78.40, 298.00
48.19, 67.70, 298.00
48.39, 67.20, 331.00
48.60, 67.40, 297.00
48.80, 81.60, 354.00
49.00, 85.90, 375.00
49.21, 115.10, 759.00
49.41, 81.80, 378.00
49.61, 87.00, 380.00
49.82, 193.70, 755.00
50.02, 81.60, 354.00
50.22, 88.50, 387.00
50.43, 78.60, 298.00
50.63, 67.40, 297.00
50.83, 67.80, 326.00
51.04, 63.20, 279.00
51.24, 67.30, 295.00
51.44, 66.60, 297.00
51.65, 64.60, 283.00
51.85, 67.60, 295.00
52.05, 76.40, 336.00
52.26, 79.80, 298.00
52.46, 67.20, 295.00
52.66, 67.40, 349.00
52.87, 69.60, 306.00
53.07, 66.70, 293.00
53.27, 67.70, 280.00
53.48, 67.20, 295.00
53.68, 66.80, 295.00
53.88, 70.80, 310.00
54.09, 79.00, 297.00
54.29, 67.80, 298.00
54.49, 67.20, 347.00
54.70, 74.50, 328.00
54.90, 67.40, 297.00
55.10, 67.70, 306.00
55.31, 67.20, 295.00
55.51, 67.70, 297.00
55.72, 67.50, 295.00
55.92, 74.20, 297.00
56.12, 67.60, 297.00
56.32, 78.20, 344.00
56.53, 77.50, 295.00
56.73, 67.40, 297.00
56.93, 67.70, 329.00
57.14, 66.90, 295.00
57.34, 66.90, 295.00
57.54, 67.80, 297.00
57.75, 70.70, 297.00
57.95, 67.40, 297.00
58.15, 76.00, 334.00
58.36, 78.70, 297.00
58.56, 67.60, 297.00
58.76, 67.60, 347.00
58.97, 184.30, 760.00
59.17, 81.40, 354.00
59.37, 84.60, 369.00
59.58, 188.60, 782.00
59.78, 87.10, 354.00
59.99, 86.10, 375.00
